mmancp2ur1;qsound_hle
mmancp2u;qsound_hle
megat5a;microtouch
megat5;microtouch
megat5nj;microtouch
megat5g;microtouch
megat5t;microtouch
megat5tg;microtouch
megat6;microtouch
megat7e;microtouch
megat3d;microtouch
megat3c;microtouch
megat3b;microtouch
megat3a;microtouch
megat3;microtouch
megat3caa;microtouch
megat3ca;microtouch
megat3nj;microtouch
megat3te;microtouch
megat3tg;microtouch
megat4d;microtouch
megat4c;microtouch
megat4b;microtouch
megat4a;microtouch
megat4;microtouch
megat4tea;microtouch
megat4te;microtouch
mtchxlti;dm_clgd5430;microtouch
myqbert;votrsc01a
meltyblo;mie;jvs13551;segadimm
meltybld;mie;jvs13551;segadimm
meltybo;mie;jvs13551;segadimm
meltyb;mie;jvs13551;segadimm
mbaao;mie;jvs13551
mbaa;mie;jvs13551
metlfrzr;t5182
metlhawkj;namcoc65
metlhawk;namcoc65
metalmx;tms32031
mexico86;m68705p3
mexico86a;m68705p3
midresb;m68705r3
mpanga;qsound_hle
mpangr1;qsound_hle
mpang;qsound_hle
mpangj;qsound_hle
mpangu;qsound_hle
minigolfb;sente6vb
minigolfa;sente6vb
minigolf;sente6vb
mirninja;namcoc65
mirninjaa;namcoc65
gundmct;mie;jvs13551
gundmgd;mie;jvs13551;segadimm
gundmxgd;mie;jvs13551;segadimm
moegonta;ym2413
monkeyba;mie;jvs13551;segadimm
mmpanic;ym2413
mstworld2;ym2413
mk3snes;s_smp
mk4b;tms32032
mk4a;tms32032
mk4;tms32032
motoraid;segabill
motoraiddx;segabill
mouja;ym2413
chocomk;mie;jvs13551;segadimm
mbombrdj;qsound_hle
mbombrd;qsound_hle
mbomberj;qsound_hle
mushikc;mie;jvs13551
mushikk;mie;jvs13551
mushikeo;mie;jvs13551
mushike;mie;jvs13551
mushikep;mie;jvs13551
mushik2k;mie;jvs13551
mushi2eo;mie;jvs13551
mushik2e;mie;jvs13551
mushik4t;mie;jvs13551
mushik4e;mie;jvs13551
mushi2k4;mie;jvs13551
mushi2k5;mie;jvs13551
mushi2k61;mie;jvs13551
mushi2k62;mie;jvs13551
mustachei;t5182
mustache;t5182
nsub;s97269pb
nycaptor;m68705p5
nss_ncaa;s_smp;m50458
nebulrayj;namcoc75
nebulrayp;namcoc75
nebulray;namcoc75
nebulbee;namco51
kuniokun;m68705p5
pss62;s_smp
nflfoot;midssio
nstocker;sente6vb
nstockera;sente6vb
nwarra;qsound_hle
nwarrb;qsound_hle
nwarr;qsound_hle
nwarrh;qsound_hle
nwarrud;qsound_hle
nwarru;qsound_hle
ninjaslta;mie;jvs13551
ninjasltj;mie;jvs13551
ninjasltu;mie;jvs13551
ninjaslt;mie;jvs13551
takoron;mie;jvs13551;segadimm
numanathj;namcoc70
numanath;namcoc70
odeontw;microtouch
odeontw2;microtouch
offroadc0;tms32031
offroadc1;tms32031
offroadc3;tms32031
offroadc4;tms32031
offroadc5;tms32031
offroadc;tms32031
otwalls;sente6vb
offrthnd;virge_pci
ollie;jvs13551;segadimm;seganetw
onna34ro;m68705p5
opwolfj;cchip
opwolfjsc;cchip
opwolfu;cchip
opwolf;cchip
opwolfa;cchip
ordyneje;namcoc65
ordynej;namcoc65
ordyne;namcoc65
outr2;jvs13551;segadimm;seganetw
outr2sto;jvs13551;segadimm;seganetw
outr2stj;jvs13551;segadimm;seganetw
outr2stjo;jvs13551;segadimm;seganetw
outr2st;jvs13551;segadimm;seganetw
otrigger;mie;jvs13551
overrevba;segabill
overrevb;segabill
pac90;ym2608
pkgnsh;ym2413
pkgnshdx;ym2413
pangb;ym2413
pangbold;ym2413
pangb2;ym2413
pangbb;ym2413
pangbp;ym2413
pangbc;ym2413
pang;ym2413
pangpoms;ym2413
pangpomsm;ym2413
pangpomsn;ym2413
panicrg;t5182
panicr;t5182
pblbeach;segabill
phelios;namcoc65
pheliosj;namcoc65
photoply98sp;at_keybc;kb_ms_natural;clgd5446_pci
photoply99nl;at_keybc;kb_ms_natural;clgd5446_pci
photoply99sp;at_keybc;kb_ms_natural;clgd5446_pci
photoply2knl;at_keybc;kb_ms_natural;clgd5446_pci
photoply2ksp;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k1it;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k1nl;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k2be;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k4;at_keybc;kb_ms_natural;clgd5446_pci
photoply2k1mtnl;at_keybc;kb_ms_natural;clgd5446_pci
pltkidsa;segabill
pltkids;segabill
ppmast93;ym2413
pipeline;m68705r3
pitnruna;m68705p5
pitnrunb;m68705p5
pitnrun;m68705p5
megat;microtouch
megat2b;microtouch
megat2a;microtouch
megat2;microtouch
megat2mn;microtouch
megat2caa;microtouch
megat2ca;microtouch
pbst30a;microtouch
pbst30;microtouch
plsmaswda;qsound_hle
plsmaswd;qsound_hle
pfghtj;qsound_hle
pocketrc;namcoc76
ptblank;namcoc75
ptblanka;namcoc75
ptblank2ua;namcoc76
ptblank2b;namcoc76
ptblank2a;namcoc76
ptblank2c;namcoc76
poittoc;ym2413
poitto;ym2413
pokasuka;mie;jvs13551
poleposa1n;namco51;namco52;namco53;namco54
poleposa1;namco51;namco52;namco53;namco54
poleposa2;namco51;namco52;namco53;namco54
poleposj;namco51;namco52;namco53;namco54
