name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
scobraa;"Super Cobra (Jpn, Alt)";1983;"Konami";NO;scobra;YES;scobra;-;
supercol;"Super Columns (Kor)";1990;"Hi-Com";YES;msx;NO;-;-;
superxf;"Super Cross Force (Euro)";1983;"Spectravideo";YES;msx;NO;-;-;
supdrink;"Super Drinker (Jpn)";1983;"Ample Software";YES;msx;NO;-;-;
superglf;"Super Golf (Jpn)";1984;"Sony";YES;msx;NO;-;-;
ilevan;"Super Ilevan";1987;"Koichi Nishida";YES;msx;NO;-;-;
slaydock;"Super Laydock - Mission Striker (Jpn)";1987;"T&E Soft";YES;msx;NO;-;-;
slaydockk;"Super Laydock - Mission Striker (Kor)";1988;"Zemina";NO;slaydock;YES;slaydock;-;
suppachi;"Super Pachinko (Jpn)";1985;"Nihon Columbia";YES;msx;NO;-;-;
spenguin;"Super Penguin";198?;"Sieco";YES;msx;NO;-;-;
supsnake;"Super Snake (Jpn)";1983;"HAL Kenkyuujo";YES;msx;NO;-;-;
supsnakeb;"Super Snake (Jpn, Alt 2)";1983;"HAL Kenkyuujo";NO;supsnake;YES;supsnake;-;
supsnakea;"Super Snake (Jpn, Alt)";1983;"HAL Kenkyuujo";NO;supsnake;YES;supsnake;-;
supsoccr;"Super Soccer (Jpn)";1985;"Sony";YES;msx;NO;-;-;
suwanggi;"Super Suwanggi - Super Altered Beast";1990;"Clover";YES;msx;NO;-;-;
suptrip;"Supertripper (Spa)";1985;"Sony Spain";YES;msx;NO;-;-;
sweetacr;"Sweet Acorn (Jpn)";1984;"Taito";YES;msx;NO;-;-;
sweetacra;"Sweet Acorn (Jpn, Alt)";1984;"Taito";NO;sweetacr;YES;sweetacr;-;
swing;"Swing (Jpn)";1985;"Pony Canyon";YES;msx;NO;-;-;
swinga;"Swing (Jpn, Alt)";1985;"Pony Canyon";NO;swing;YES;swing;-;
tvirus;"T-Virus";2005;"Dioniso (Alfonso D.C.)";YES;msx;NO;-;-;
takameija;"Takahashi Meijin no Boukenjima (Jpn, Alt)";1986;"Hudson Soft";NO;takameij;YES;takameij;-;
takameijk1;"Takahashi Meijin no Boukenjima (Kor, Star Frontiers)";1988;"Star Frontiers";NO;takameij;YES;takameij;-;
takameijk2;"Takahashi Meijin no Boukenjima (Kor, Zemina)";198?;"Zemina";NO;takameij;YES;takameij;-;
takeru;"Takeru Densetsu (Jpn)";1987;"Brother Kougyou";YES;msx;NO;-;-;
tankbatt;"Tank Battalion (Jpn)";1984;"Namcot";YES;msx;NO;-;-;
tatica;"Tatica (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
tawarakn;"Tawara-kun (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
tawaraknb;"Tawara-kun (Jpn, Alt 2)";1984;"ASCII";NO;tawarakn;YES;tawarakn;-;
tawarakna;"Tawara-kun (Jpn, Alt)";1984;"ASCII";NO;tawarakn;YES;tawarakn;-;
tearnile;"Tear of Nile (Jpn)";1986;"Victor";YES;msx;NO;-;-;
telebunn;"Telebunnie (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
telebunna;"Telebunnie (Jpn, Alt)";1984;"ASCII";NO;telebunn;YES;telebunn;-;
temptations;"Temptations";1988;"Topo Soft";YES;msx;NO;-;-;
tensaird;"Tensai Rabbian Daifunsen (Jpn)";1986;"Toshiba EMI";YES;msx;NO;-;-;
tension;"Tension";1988;"System 4";YES;msx;NO;-;-;
teodoro;"Teodoro No Sabe Volar";2012;"Retroworks/Dimension Z";YES;msx;NO;-;-;
terminus;"Terminus - Prison Planet (Euro)";1987;"Mastertronic Added Dimension";YES;msx;NO;-;-;
terramex;"Terramex (Euro)";1988;"Grandslam Entertainments";YES;msx;NO;-;-;
tetrahor;"Tetra Horror (Jpn)";1983;"ASCII";YES;msx;NO;-;-;
tetrahora;"Tetra Horror (Jpn, Alt)";1983;"ASCII";NO;tetrahor;YES;tetrahor;-;
tetris;"Tetris (Kor)";19??;"Zemina";YES;msx;NO;-;-;
tetrisa;"Tetris (Kor, Alt)";198?;"Zemina";NO;tetris;YES;tetris;-;
tetris2;"Tetris II (Kor)";1989;"Prosoft";YES;msx;NO;-;-;
tetsuman;"Tetsuman (Jpn)";1985;"HAL Kenkyuujo";YES;msx;NO;-;-;
tetsumana;"Tetsuman (Jpn, Alt)";1985;"HAL Kenkyuujo";NO;tetsuman;YES;tetsuman;-;
blckonyx;"The Black Onyx (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
blckony2;"The Black Onyx II - Search For The Fire Crystal (Jpn)";1986;"ASCII";YES;msx;NO;-;-;
castle;"The Castle (Jpn)";1985;"ASCII";YES;msx;NO;-;-;
castlek;"The Castle (Kor)";1987;"Static Soft";NO;castle;YES;castle;-;
thecure;"The Cure";2005;"XL2S Entertainment";YES;msx;NO;-;-;
dambustr;"The Dam Busters (Euro?)";1985;"Comptiq";YES;msx;NO;-;-;
dambustra;"The Dam Busters (Jpn)";1985;"Comptiq";NO;dambustr;YES;dambustr;-;
dcrystal;"The Demon Crystal (Jpn)";1986;"Dempa";YES;msx;NO;-;-;
flstory;"The Fairyland Story (Jpn)";1987;"Hot-B";YES;msx;NO;-;-;
flstorya;"The Fairyland Story (Jpn, Alt)";1987;"Hot-B";NO;flstory;YES;flstory;-;
goonies;"The Goonies (Jpn)";1986;"Konami";YES;msx;NO;-;-;
gooniesb;"The Goonies (Jpn, Alt 2)";1986;"Konami";NO;goonies;YES;goonies;-;
gooniesa;"The Goonies (Jpn, Alt)";1986;"Konami";NO;goonies;YES;goonies;-;
heist;"The Heist (Jpn)";1985;"Comptiq";YES;msx;NO;-;-;
iceking;"The Ice King (Euro)";1986;"CDS Micro Systems";YES;msx;NO;-;-;
policest;"The Police Story (Jpn)";1986;"Pony Canyon";YES;msx;NO;-;-;
policesta;"The Police Story (Jpn, Alt)";1986;"Pony Canyon";NO;policest;YES;policest;-;
pricemag;"The Price of Magik (Euro)";1986;"Level 9 Computing";YES;msx;NO;-;-;
protectr;"The Protector (Jpn)";1985;"Pony Canyon";YES;msx;NO;-;-;
spider;"The Spider (Jpn)";1984;"Hudson Soft";YES;msx;NO;-;-;
3dragon;"The Three Dragon Story (Kor)";1989;"Zemina";YES;msx;NO;-;-;
druaga;"The Tower of Druaga (Jpn)";1986;"Namcot";YES;msx;NO;-;-;
wreck;"The Wreck (Euro)";1984;"Electric Software";YES;msx;NO;-;-;
theseus;"Theseus - Iligks I (Jpn)";1984;"ASCII";YES;msx;NO;-;-;
