name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof;
nflqb;"NFL Quarterback Club (World)";1994;"Acclaim Entertainment";YES;-;NO;-;-;
nhlasp17;"NHL All-Star Hockey (Prototype, 19941215)";1994;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp16;"NHL All-Star Hockey (Prototype, 19941222)";1994;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp15;"NHL All-Star Hockey (Prototype, 19941229)";1994;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp14;"NHL All-Star Hockey (Prototype, 19941231)";1994;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp13;"NHL All-Star Hockey (Prototype, 19950102)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp12;"NHL All-Star Hockey (Prototype, 19950103)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp11;"NHL All-Star Hockey (Prototype, 19950107)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp10;"NHL All-Star Hockey (Prototype, 19950111)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp09;"NHL All-Star Hockey (Prototype, 19950113)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp08;"NHL All-Star Hockey (Prototype, 19950116)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp07;"NHL All-Star Hockey (Prototype, 19950120)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp06;"NHL All-Star Hockey (Prototype, 19950121)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp02;"NHL All-Star Hockey (Prototype, 19950124)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp05;"NHL All-Star Hockey (Prototype, 19950124-A)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp04;"NHL All-Star Hockey (Prototype, 19950124-B)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp03;"NHL All-Star Hockey (Prototype, 19950124-C)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlasp01;"NHL All-Star Hockey (Prototype, 19950125)";1995;"Sega";NO;nhlas;YES;nhlas;-;
nhlas;"NHL All-Star Hockey (USA)";1995;"Sega";YES;-;NO;-;-;
nhl;"NHL Hockey (Euro, USA)";1995;"Electronic Arts";YES;-;NO;-;-;
ngaiden;"Ninja Gaiden (Euro, USA)";1991;"Sega";YES;-;NO;-;-;
ngaidenj;"Ninja Gaiden (Jpn)";1991;"Sega";NO;ngaiden;YES;ngaiden;-;
ninku;"Ninku (Jpn)";1995;"Sega";YES;-;NO;-;-;
ninku2;"Ninku 2 - Tenkuuryuu e no Michi (Jpn)";1995;"Sega";YES;-;NO;-;-;
ninkug;"Ninku Gaiden - Hiroyuki Daikatsugeki (Jpn)";1995;"Sega";YES;-;NO;-;-;
nomowsb;"Nomo's World Series Baseball (Jpn)";1995;"Sega";YES;-;NO;-;-;
olympgld;"Olympic Gold (Euro, v1, SMS Mode)";1992;"U.S. Gold";YES;-;NO;-;-;
olympglda;"Olympic Gold (Jpn, USA, v0, SMS Mode)";1992;"U.S. Gold";NO;olympgld;YES;olympgld;-;
outrun;"Out Run (Euro)";1991;"Sega";YES;-;NO;-;-;
outrunj;"Out Run (Jpn)";1991;"Sega";NO;outrun;YES;outrun;-;
outrneur;"Out Run Europa (Euro, Bra, SMS Mode)";1992;"U.S. Gold";YES;-;NO;-;-;
outrneuru;"Out Run Europa (USA, SMS Mode)";1992;"U.S. Gold";NO;outrneur;YES;outrneur;-;
pacattak;"Pac-Attack (Euro, USA)";1994;"Namco";YES;-;NO;-;-;
pacintim;"Pac-In-Time (Prototype)";199?;"Unknown";YES;-;NO;-;-;
pacmanj;"Pac-Man (Jpn)";1991;"Namcot";NO;pacman;YES;pacman;-;
